SKU,Product Name,Collection,Retail Presentation,Presentation Type,Measurement,Unit,Currency,Price
FMT-BO-RBO-2025,Raw Batana Oil,BATANA OIL,60 ml,straight-sided clear plastic jar,60,ml,USD,19.99
FMT-BO-RBO-2025,Raw Batana Oil,BATANA OIL,120 ml,straight-sided clear plastic jar,120,ml,USD,29.99
FMT-BO-RBO-2025,Raw Batana Oil,BATANA OIL,1 gal,plastic us gallon (f - rectangular),1,gal,USD,220
FMT-BO-CO-2025,Batana Oil Hair Conditioner,BATANA OIL,250 ml,bottle with dispenser pump,250,ml,USD,24.99
FMT-BO-CO-2025,Batana Oil Hair Conditioner,BATANA OIL,500 ml,bottle with dispenser pump,500,ml,USD,34.99
FMT-BO-SB-2025,Batana Oil True Soap Bar,BATANA OIL,100 g,soap bar,100,g,USD,19.99
FMT-BO-SH-2025,Batana Oil Hair Wash,BATANA OIL,250 ml,bottle with dispenser pump,250,ml,USD,24.99
FMT-BO-SH-2025,Batana Oil Hair Wash,BATANA OIL,500 ml,bottle with dispenser pump,500,ml,USD,34.99
FMT-SBH-JM-2025,Jimerito,STINGLESS BEE HONEY,30 ml,dropper bottle,30,ml,USD,49.99
FMT-SBH-JM-2025,Jimerito,STINGLESS BEE HONEY,250 ml,bottle,250,ml,USD,219.99
FMT-SBH-JM-2025,Jimerito,STINGLESS BEE HONEY,750 ml,bottle,750,ml,USD,349.99
FMT-TH-AL-2025,Gumbo Limbo Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,30
FMT-TH-AL-2025,Gumbo Limbo Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,50
FMT-TH-AL-2025,Gumbo Limbo Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,100
FMT-TH-BL-2025,Amaranth Greens,TRADITIONAL HERBS,57 g,bag,57,g,USD,15
FMT-TH-BL-2025,Amaranth Greens,TRADITIONAL HERBS,113 g,bag,113,g,USD,22
FMT-TH-BL-2025,Amaranth Greens,TRADITIONAL HERBS,454 g,bag,454,g,USD,44
FMT-TH-BY-2025,Bay Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,10
FMT-TH-BY-2025,Bay Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,18
FMT-TH-BY-2025,Bay Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,32
FMT-TH-CA-2025,Bitter Melon - Cundeamor,TRADITIONAL HERBS,57 g,bag,57,g,USD,10
FMT-TH-CA-2025,Bitter Melon - Cundeamor,TRADITIONAL HERBS,113 g,bag,113,g,USD,16
FMT-TH-CA-2025,Bitter Melon - Cundeamor,TRADITIONAL HERBS,454 g,bag,454,g,USD,32
FMT-TH-CC-2025,Cat's Claw,TRADITIONAL HERBS,57 g,bag,57,g,USD,18
FMT-TH-CC-2025,Cat's Claw,TRADITIONAL HERBS,113 g,bag,113,g,USD,28
FMT-TH-CC-2025,Cat's Claw,TRADITIONAL HERBS,454 g,bag,454,g,USD,50
FMT-TH-CD-2025,Thuja - Cedar Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,20
FMT-TH-CD-2025,Thuja - Cedar Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,32
FMT-TH-CD-2025,Thuja - Cedar Leaves,TRADITIONAL HERBS,454 g,bag,454,g,USD,66
FMT-TH-CF-2025,Cassia Pods,TRADITIONAL HERBS,57 g,bag,57,g,USD,8
FMT-TH-CF-2025,Cassia Pods,TRADITIONAL HERBS,113 g,bag,113,g,USD,14
FMT-TH-CF-2025,Cassia Pods,TRADITIONAL HERBS,454 g,bag,454,g,USD,28
FMT-TH-CI-2025,Possum Grape - Cissus,TRADITIONAL HERBS,57 g,bag,57,g,USD,10
FMT-TH-CI-2025,Possum Grape - Cissus,TRADITIONAL HERBS,113 g,bag,113,g,USD,16
FMT-TH-CI-2025,Possum Grape - Cissus,TRADITIONAL HERBS,454 g,bag,454,g,USD,32
FMT-TH-CR-2025,Cocolmeca Root,TRADITIONAL HERBS,57 g,bag,57,g,USD,20
FMT-TH-CR-2025,Cocolmeca Root,TRADITIONAL HERBS,113 g,bag,113,g,USD,32
FMT-TH-CR-2025,Cocolmeca Root,TRADITIONAL HERBS,454 g,bag,454,g,USD,60
FMT-TH-CT-2025,Contribo,TRADITIONAL HERBS,57 g,bag,57,g,USD,20
FMT-TH-CT-2025,Contribo,TRADITIONAL HERBS,113 g,bag,113,g,USD,30
FMT-TH-CT-2025,Contribo,TRADITIONAL HERBS,454 g,bag,454,g,USD,60
FMT-TH-CW-2025,Cow's Foot Leaves,TRADITIONAL HERBS,57 g,bag,57,g,USD,10
FMT-TH-CW-2025,Cow's Foot Leaves,TRADITIONAL HERBS,113 g,bag,113,g,USD,18
