SKU,Product Name,Collection,Wholesale Presentation,Presentation Type,Measurement,Unit,Currency,Price,Pack Quantity,Pack Unit,Inner Measurement,Inner Unit
FMT-BO-RBO-2025,Raw Batana Oil,BATANA OIL,5 gal,plastic pail/bucket,5,gal,USD,Contact for Quotation,,,,
FMT-BO-RBO-2025,Raw Batana Oil,BATANA OIL,180 kg,drum,180,kg,USD,Contact for Quotation,,,,
FMT-BO-RBO-2025,Raw Batana Oil,BATANA OIL,400 kg,drum,400,kg,USD,Contact for Quotation,,,,
FMT-BO-RBO-2025,Raw Batana Oil,BATANA OIL,650 kg,drum,650,kg,USD,Contact for Quotation,,,,
FMT-BO-RBO-2025,Raw Batana Oil,BATANA OIL,900 kg,IBC container,900,kg,USD,Contact for Quotation,,,,
FMT-BO-CO-2025,Batana Oil Hair Conditioner,BATANA OIL,1 gal,plastic us gallon (f - rectangular),1,gal,USD,Contact for Quotation,,,,
FMT-BO-CO-2025,Batana Oil Hair Conditioner,BATANA OIL,5 gal,plastic pail/bucket,5,gal,USD,Contact for Quotation,,,,
FMT-BO-CO-2025,Batana Oil Hair Conditioner,BATANA OIL,55 gal,drum,55,gal,USD,Contact for Quotation,,,,
FMT-BO-CO-2025,Batana Oil Hair Conditioner,BATANA OIL,120 gal,drum,120,gal,USD,Contact for Quotation,,,,
FMT-BO-CO-2025,Batana Oil Hair Conditioner,BATANA OIL,195 gal,drum,195,gal,USD,Contact for Quotation,,,,
FMT-BO-CO-2025,Batana Oil Hair Conditioner,BATANA OIL,270 gal,IBC container,270,gal,USD,Contact for Quotation,,,,
FMT-BO-SB-2025,Batana Oil True Soap Bar,BATANA OIL,Case (12 bars x 100 g),case pack,12,bars,USD,Contact for Quotation,12,bars,100,g
FMT-BO-SB-2025,Batana Oil True Soap Bar,BATANA OIL,Case (24 bars x 100 g),case pack,24,bars,USD,Contact for Quotation,24,bars,100,g
FMT-BO-SB-2025,Batana Oil True Soap Bar,BATANA OIL,Case (48 bars x 100 g),case pack,48,bars,USD,Contact for Quotation,48,bars,100,g
FMT-BO-SB-2025,Batana Oil True Soap Bar,BATANA OIL,Case (96 bars x 100 g),case pack,96,bars,USD,Contact for Quotation,96,bars,100,g
FMT-BO-SH-2025,Batana Oil Hair Wash,BATANA OIL,1 gal,plastic us gallon (f - rectangular),1,gal,USD,Contact for Quotation,,,,
FMT-BO-SH-2025,Batana Oil Hair Wash,BATANA OIL,5 gal,plastic pail/bucket,5,gal,USD,Contact for Quotation,,,,
FMT-BO-SH-2025,Batana Oil Hair Wash,BATANA OIL,55 gal,drum,55,gal,USD,Contact for Quotation,,,,
FMT-BO-SH-2025,Batana Oil Hair Wash,BATANA OIL,120 gal,drum,120,gal,USD,Contact for Quotation,,,,
FMT-BO-SH-2025,Batana Oil Hair Wash,BATANA OIL,195 gal,drum,195,gal,USD,Contact for Quotation,,,,
FMT-BO-SH-2025,Batana Oil Hair Wash,BATANA OIL,270 gal,IBC container,270,gal,USD,Contact for Quotation,,,,
FMT-SBH-JM-2025,Jimerito,STINGLESS BEE HONEY,1 gal,plastic us gallon (f - rectangular),1,gal,USD,Contact for Quotation,,,,
FMT-SBH-JM-2025,Jimerito,STINGLESS BEE HONEY,5 gal,plastic pail/bucket,5,gal,USD,Contact for Quotation,,,,
FMT-SBH-JM-2025,Jimerito,STINGLESS BEE HONEY,25 gal,drum,25,gal,USD,Contact for Quotation,,,,
FMT-SBH-JM-2025,Jimerito,STINGLESS BEE HONEY,55 gal,drum,55,gal,USD,Contact for Quotation,,,,
FMT-TH-AL-2025,Gumbo Limbo Leaves,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-AL-2025,Gumbo Limbo Leaves,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-BL-2025,Amaranth Greens,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-BL-2025,Amaranth Greens,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-BY-2025,Bay Leaves,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-BY-2025,Bay Leaves,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-CA-2025,Bitter Melon - Cundeamor,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-CA-2025,Bitter Melon - Cundeamor,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-CC-2025,Cat's Claw,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-CC-2025,Cat's Claw,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-CD-2025,Thuja - Cedar Leaves,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-CD-2025,Thuja - Cedar Leaves,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-CF-2025,Cassia Pods,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-CF-2025,Cassia Pods,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-CI-2025,Possum Grape - Cissus,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-CI-2025,Possum Grape - Cissus,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-CR-2025,Cocolmeca Root,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-CR-2025,Cocolmeca Root,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-CT-2025,Contribo,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-CT-2025,Contribo,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-CW-2025,Cow's Foot Leaves,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-CW-2025,Cow's Foot Leaves,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-DB-2025,Dragon's Blood Bark,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-DB-2025,Dragon's Blood Bark,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-DF-2025,Duck Flower,TRADITIONAL HERBS,50 units,unit,50,units,USD,Contact for Quotation,,,,
FMT-TH-DF-2025,Duck Flower,TRADITIONAL HERBS,100 units,unit,100,units,USD,Contact for Quotation,,,,
FMT-TH-DF-2025,Duck Flower,TRADITIONAL HERBS,250 units,unit,250,units,USD,Contact for Quotation,,,,
FMT-TH-DF-2025,Duck Flower,TRADITIONAL HERBS,500 units,unit,500,units,USD,Contact for Quotation,,,,
FMT-TH-DO-2025,Sensitive Plant,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-DO-2025,Sensitive Plant,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-EU-2025,Eucalyptus Leaves,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-EU-2025,Eucalyptus Leaves,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-GL-2025,Guava Leaves,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-GL-2025,Guava Leaves,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-GLB-2025,Gumbo Limbo Bark,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-GLB-2025,Gumbo Limbo Bark,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-GU-2025,Guaco Leaves,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-GU-2025,Guaco Leaves,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-HF-2025,Hibiscus Flowers,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-HF-2025,Hibiscus Flowers,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-HG-2025,Quassia - Bitter Wood,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-HG-2025,Quassia - Bitter Wood,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-HT-2025,Blessed Thistle,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-HT-2025,Blessed Thistle,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-KR-2025,Kalawalla Root,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-KR-2025,Kalawalla Root,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-LG-2025,Lemongrass,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-LG-2025,Lemongrass,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-LV-2025,Leaf of Life - Miracle Leaf,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-LV-2025,Leaf of Life - Miracle Leaf,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-MA-2025,Taro - Malanga Leaf,TRADITIONAL HERBS,50 units,unit,50,units,USD,Contact for Quotation,,,,
FMT-TH-MA-2025,Taro - Malanga Leaf,TRADITIONAL HERBS,100 units,unit,100,units,USD,Contact for Quotation,,,,
FMT-TH-MA-2025,Taro - Malanga Leaf,TRADITIONAL HERBS,250 units,unit,250,units,USD,Contact for Quotation,,,,
FMT-TH-MA-2025,Taro - Malanga Leaf,TRADITIONAL HERBS,500 units,unit,500,units,USD,Contact for Quotation,,,,
FMT-TH-ML-2025,Mango Leaves,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-ML-2025,Mango Leaves,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-MO-2025,Moringa Leaves,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-MO-2025,Moringa Leaves,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-MU-2025,Muicle Herb,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-MU-2025,Muicle Herb,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-NL-2025,Nettle Leaves,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-NL-2025,Nettle Leaves,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-NM-2025,Neem Leaves,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-NM-2025,Neem Leaves,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-PC-2025,Pau D'Arco Bark,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-PC-2025,Pau D'Arco Bark,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-PG-2025,Palo Guaco,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-PG-2025,Palo Guaco,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-PL-2025,Plantain Leaf,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-PL-2025,Plantain Leaf,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-PN-2025,Pine Needles,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-PN-2025,Pine Needles,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-PS-2025,Palo Santo,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-PS-2025,Palo Santo,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-SL-2025,Soursop Leaves,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-SL-2025,Soursop Leaves,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-SN-2025,Snake Plant,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-SN-2025,Snake Plant,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-SP-2025,Stonebreaker,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-SP-2025,Stonebreaker,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-SR-2025,Sarsaparilla,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-SR-2025,Sarsaparilla,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
FMT-TH-TL-2025,Linden - Tilia,TRADITIONAL HERBS,4.5 kg,bag,4.5,kg,USD,Contact for Quotation,,,,
FMT-TH-TL-2025,Linden - Tilia,TRADITIONAL HERBS,11.3 kg,bag,11.3,kg,USD,Contact for Quotation,,,,
